id,user_name,created_at,text
1495800620502200326,Kellogg Company,2022-02-21 16:40:33+00:00,"b'Everyone deserves a full plate. From now through 3/2, buy $15 or more of participating items at @Giantfoodstores, r\xe2\x80\xa6 https://t.co/UWHtDB19rQ'"
1495745176047915010,Kellogg Company,2022-02-21 13:00:14+00:00,"b'W.K. Kellogg founded the company in Battle Creek, MI, but quickly expanded\xe2\x80\xa6today we offer a wide variety of foods i\xe2\x80\xa6 https://t.co/M8Zx91Gjr7'"
1495745172658917381,Kellogg Company,2022-02-21 13:00:13+00:00,b'Kellogg has built on our history as one of the original plant-based wellbeing companies. (Have you tried our new In\xe2\x80\xa6 https://t.co/2TRlEcTx0c'
1495745169509040129,Kellogg Company,2022-02-21 13:00:12+00:00,"b'Kellogg Company continues to grow and innovate, and today our snack business (including new Cheez-It Puff\xe2\x80\x99d cracker\xe2\x80\xa6 https://t.co/4WSttAFigK'"
1495745165738262531,Kellogg Company,2022-02-21 13:00:11+00:00,b'W.K. Kellogg founded his company 116 years ago.  We are proud of that heritage and honored to carry his legacy forw\xe2\x80\xa6 https://t.co/QBgZEqEPBd'
1494058763275354112,Kellogg Company,2022-02-16 21:19:02+00:00,"b'From lighter, resealable packaging to refillable cereal stations, we\xe2\x80\x99re making meaningful strides toward our\xe2\x80\xa6 https://t.co/jKT2TZ828r'"
1494043410335944708,Kellogg Company,2022-02-16 20:18:01+00:00,"b'Since 2015, we\xe2\x80\x99ve reduced greenhouse gas emissions by the equivalent of removing nearly 3.2 billion cars off the ro\xe2\x80\xa6 https://t.co/k7OoHvc3Cd'"
1493979924725653507,Kellogg Company,2022-02-16 16:05:45+00:00,b'Helping kids and families lead filled and fulfilled lives is why we\xe2\x80\x99re committed to creating #BetterDays for our pe\xe2\x80\xa6 https://t.co/tyWDG36Pu8'
1493694554222075918,Kellogg Company,2022-02-15 21:11:47+00:00,b'What if we could pay farmers for the greenhouse gas emissions they reduce by implementing climate-positive practice\xe2\x80\xa6 https://t.co/7pM4U7vvEJ'
1493694549838991365,Kellogg Company,2022-02-15 21:11:46+00:00,"b'Tackling climate change can\xe2\x80\x99t be done alone!  That\xe2\x80\x99s why we are partnering w/ @RegrowAg, @SyngentaUS + U.S. rice fa\xe2\x80\xa6 https://t.co/FDQtfRpaV2'"
1493653841992208389,Kellogg Company,2022-02-15 18:30:01+00:00,b'Farmers who grow rice used to make Kellogg\xe2\x80\x99s foods such as @specialK + @ricekrispies will soon be eligible for fina\xe2\x80\xa6 https://t.co/tjHzF5t66y'
1493616340447465481,Kellogg Company,2022-02-15 16:01:00+00:00,b'\xe2\x80\x9cKellogg\xe2\x80\x99s is the first food company to say they are willing to support us and give back to support these goals.\xe2\x80\x9d\xe2\x80\xa6 https://t.co/tBTAP0pr1s'
1493597040420478976,Kellogg Company,2022-02-15 14:44:18+00:00,"b'What if a food company paid farmers not just for the crops they produce, but also for the greenhouse gases that the\xe2\x80\xa6 https://t.co/foHZc6CGP6'"
1492591013747122182,Kellogg Company,2022-02-12 20:06:43+00:00,"b'Kellogg is committed to creating #BetterDays, including for military + veteran families!\xc2\xa0\xc2\xa0\n\xc2\xa0\nOur $70K donation to\xe2\x80\xa6 https://t.co/Tr8rXrTNRR'"
1492218452463042562,Kellogg Company,2022-02-11 19:26:17+00:00,"b'Kudos to our partners @unitedway on 25 years of #211day, providing access to essential services for families all ov\xe2\x80\xa6 https://t.co/YGgzCgcvKa'"
1492125321486811137,Kellogg Company,2022-02-11 13:16:13+00:00,b'We\xe2\x80\x99re honored to be listed on @Forbes America\xe2\x80\x99s Best Large Employers list. https://t.co/fbROZrfEiM'
1492115949658546180,Kellogg Company,2022-02-11 12:38:59+00:00,b'Kellogg Chairman and CEO Steve Cahillane discusses the business environment and year-end results on @CNN. $K https://t.co/iyv60zkmx3'
1491882875230294020,Kellogg Company,2022-02-10 21:12:49+00:00,"b'RT @cheddar: ""The strength of the portfolio really shined through"": @KelloggsUS Chairman and CEO Steve Cahillane says that Kellogg\'s is mor\xe2\x80\xa6'"
1491817757951754240,Kellogg Company,2022-02-10 16:54:04+00:00,"b""Steve Cahillane, Kellogg Chairman and CEO, joins 'Squawk on the Street' to discuss the company's year-end earnings\xe2\x80\xa6 https://t.co/AFKI1YrR5d"""
1491803905235189767,Kellogg Company,2022-02-10 15:59:02+00:00,"b'@KelloggCompany\xe2\x80\x99s portfolio is shaped toward growth with a focus on snacks, emerging markets and frozen foods. $K https://t.co/Xt6OfnAI1g'"
1491790252003844099,Kellogg Company,2022-02-10 15:04:46+00:00,"b'The result of all of this was yet another year of balanced financial delivery in 2021, which we expect to sustain,\xe2\x80\xa6 https://t.co/5xihcbNNnt'"
1491790248036032522,Kellogg Company,2022-02-10 15:04:45+00:00,"b'Kellogg Chairman &amp; CEO Steve Cahillane: We enter 2022 in good financial condition. Our cash flow remains strong, an\xe2\x80\xa6 https://t.co/7Mjf56aVoc'"
1491784842412843013,Kellogg Company,2022-02-10 14:43:17+00:00,"b'Kellogg CFO Amit Banati: And cash flow came in at $1.15 billion, in line with our guidance for $1.1-1.2 billion, an\xe2\x80\xa6 https://t.co/sthFoSc9rC'"
1491784625911476228,Kellogg Company,2022-02-10 14:42:25+00:00,"b'Kellogg CFO Amit Banati: Currency-neutral, adjusted-basis earnings per share increased by more than 1%, in line wit\xe2\x80\xa6 https://t.co/9whUnsLIqu'"
1491784468876513291,Kellogg Company,2022-02-10 14:41:48+00:00,"b'Tweet 2ogg CFO Amit Banati on 2021 $K results: Organic net sales growth came in at 3.5%, ahead of our guidance rang\xe2\x80\xa6 https://t.co/IP240Zhbl9'"
